,Neighborhood,Pincode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bangalore G.P.O.,560001,12.9914,77.5944,Millers 46,12.991665958945687,77.59420704126842,Steakhouse
1,Bangalore G.P.O.,560001,12.9914,77.5944,Ujwal Bar & Restaurant,12.99227960861634,77.59447349833962,Indian Restaurant
2,Bangalore G.P.O.,560001,12.9914,77.5944,Alliance Française,12.99123205419195,77.59672285626755,Concert Hall
3,Bangalore G.P.O.,560001,12.9914,77.5944,Imperial Restaurant,12.991149886578006,77.59383746322487,Indian Restaurant
4,Bangalore G.P.O.,560001,12.9914,77.5944,Infinitea,12.987156756402875,77.59483450996156,Tea Room
5,Bangalore G.P.O.,560001,12.9914,77.5944,Pasta Street - Cunningham Road,12.988385129794183,77.59389142600642,Italian Restaurant
6,Bangalore G.P.O.,560001,12.9914,77.5944,Ramana's,12.988734023699127,77.5940574616001,Indian Restaurant
7,Bangalore G.P.O.,560001,12.9914,77.5944,Fat Buddha,12.989882118854355,77.5912540122119,Chinese Restaurant
8,Bangalore G.P.O.,560001,12.9914,77.5944,Watson's,12.994217603999449,77.59464460568408,Pub
9,Bangalore G.P.O.,560001,12.9914,77.5944,Karnataka Badminton Association,12.989514454878785,77.5969601565791,Badminton Court
10,Bangalore G.P.O.,560001,12.9914,77.5944,Chungs,12.989102438265864,77.59402695478403,Chinese Restaurant
11,Bangalore G.P.O.,560001,12.9914,77.5944,Hotel Chandrika,12.98965,77.59297,Vegetarian / Vegan Restaurant
12,Bangalore G.P.O.,560001,12.9914,77.5944,The Zodiac,12.989588592716233,77.59505407068745,Indian Restaurant
13,Bangalore G.P.O.,560001,12.9914,77.5944,Domino's Pizza,12.988320482792965,77.59400417472338,Pizza Place
14,Bangalore G.P.O.,560001,12.9914,77.5944,Cafe Coffee Day,12.989304961550355,77.59288289535611,Coffee Shop
15,Bangalore G.P.O.,560001,12.9914,77.5944,Casa Raviera,12.989019782378223,77.59342889070933,Italian Restaurant
16,Bangalore G.P.O.,560001,12.9914,77.5944,Cafe Coffee Day,12.988458,77.59205,Coffee Shop
17,Bangalore G.P.O.,560001,12.9914,77.5944,Karnataka State Billiards Association,12.989906017226252,77.59659072410895,Pool Hall
18,Bangalore G.P.O.,560001,12.9914,77.5944,Subway,12.987839872381402,77.59456150081076,Sandwich Place
19,Bangalore G.P.O.,560001,12.9914,77.5944,Shezan,12.987163496099882,77.59484021516408,Indian Restaurant
20,Bangalore G.P.O.,560001,12.9914,77.5944,KFC,12.988550451776677,77.59386808727444,Fast Food Restaurant
21,Bangalore G.P.O.,560001,12.9914,77.5944,Secret Garden Cafe,12.987379285480086,77.59592053563657,Salad Place
22,Bangalore G.P.O.,560001,12.9914,77.5944,Pai Vihar,12.99317188523833,77.59588688029433,Indian Restaurant
23,Bangalore G.P.O.,560001,12.9914,77.5944,Cafe Coffee Day,12.987448449012476,77.59460640907776,Coffee Shop
24,Bangalore G.P.O.,560001,12.9914,77.5944,Sri Vinayaka Juice & Chats,12.992459297180176,77.59272766113281,Juice Bar
25,Bangalore G.P.O.,560001,12.9914,77.5944,Featherlite collections,12.993066241419063,77.59554090066274,Furniture / Home Store
26,Bangalore G.P.O.,560001,12.9914,77.5944,BlackBerry Service Centre,12.988793544704398,77.59493096392437,Mobile Phone Shop
27,Bangalore G.P.O.,560001,12.9914,77.5944,Bangalore Bistro,12.988101433291202,77.59411957508252,Mediterranean Restaurant
28,Bangalore G.P.O.,560001,12.9914,77.5944,Little Paramount,12.993263345904717,77.5910194564357,Indian Restaurant
29,Bangalore G.P.O.,560001,12.9914,77.5944,Shezan,12.987180118058822,77.59483900680637,Indian Restaurant
30,Bangalore G.P.O.,560001,12.9914,77.5944,Cantonment Station Chai Guy,12.993795132048405,77.59824360820399,Tea Room
31,Bangalore G.P.O.,560001,12.9914,77.5944,The Bakery World,12.99354170405161,77.59845624083374,Bakery
32,Legislators Home,560001,12.9914,77.5944,Millers 46,12.991665958945687,77.59420704126842,Steakhouse
33,Legislators Home,560001,12.9914,77.5944,Ujwal Bar & Restaurant,12.99227960861634,77.59447349833962,Indian Restaurant
34,Legislators Home,560001,12.9914,77.5944,Alliance Française,12.99123205419195,77.59672285626755,Concert Hall
35,Legislators Home,560001,12.9914,77.5944,Imperial Restaurant,12.991149886578006,77.59383746322487,Indian Restaurant
36,Legislators Home,560001,12.9914,77.5944,Infinitea,12.987156756402875,77.59483450996156,Tea Room
37,Legislators Home,560001,12.9914,77.5944,Pasta Street - Cunningham Road,12.988385129794183,77.59389142600642,Italian Restaurant
