,Neighborhood,Pincode,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Girgaon,400004,18.95,72.8167,Palms - Catholic Gymkhana,18.94975999002401,72.82001852587977,Restaurant
1,Girgaon,400004,18.95,72.8167,Bachelors Juice House,18.950088213831524,72.81918525695801,Juice Bar
2,Girgaon,400004,18.95,72.8167,Bachelorr's Ice Creams,18.954112687615716,72.81539588202173,Ice Cream Shop
3,Girgaon,400004,18.95,72.8167,Mafatlal Hindu Bath & Boating Club,18.953616,72.815366,Harbor / Marina
4,Girgaon,400004,18.95,72.8167,Gola's,18.949306841562212,72.81945304261365,Food Truck
5,Girgaon,400004,18.95,72.8167,Catholic Gymkhana,18.94968068708717,72.82033307360804,Gastropub
6,Girgaon,400004,18.95,72.8167,Domino's Pizza,18.953,72.817,Pizza Place
7,Girgaon,400004,18.95,72.8167,Say Cheese,18.95423508702571,72.81819872937999,Fast Food Restaurant
8,Girgaon,400004,18.95,72.8167,Charni Road Railway Station,18.95240045270882,72.81782582837181,Train Station
9,Girgaon,400004,18.95,72.8167,Golden Star Thali,18.952892141007037,72.81754087807279,Indian Restaurant
10,Girgaon,400004,18.95,72.8167,Thacker's,18.954042099856974,72.81487053191732,Indian Restaurant
11,Girgaon,400004,18.95,72.8167,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
12,Girgaon,400004,18.95,72.8167,Cafe Coffee Day,18.95403097099501,72.81639479413897,Café
13,Girgaon,400004,18.95,72.8167,Taraporewala Aquarium,18.94914264947021,72.81971486728122,Aquarium
14,Girgaon,400004,18.95,72.8167,Foodhall,18.950712573540788,72.8190260441791,Grocery Store
15,Girgaon,400004,18.95,72.8167,Mafatlal Gym,18.952364017288584,72.81602481473548,Gym
16,Girgaon,400004,18.95,72.8167,Ne'thing For Chocolate,18.952414283720938,72.81791238259335,Bakery
17,Girgaon,400004,18.95,72.8167,Charni Road,18.95270190564751,72.81788353118958,Train Station
18,Girgaon,400004,18.95,72.8167,M.D.,18.94866939673678,72.81983964866144,Smoke Shop
19,Girgaon,400004,18.95,72.8167,marine drive gola wala,18.94895706527129,72.82033011814123,Dessert Shop
20,Opera House,400004,18.95,72.8167,Palms - Catholic Gymkhana,18.94975999002401,72.82001852587977,Restaurant
21,Opera House,400004,18.95,72.8167,Bachelors Juice House,18.950088213831524,72.81918525695801,Juice Bar
22,Opera House,400004,18.95,72.8167,Bachelorr's Ice Creams,18.954112687615716,72.81539588202173,Ice Cream Shop
23,Opera House,400004,18.95,72.8167,Mafatlal Hindu Bath & Boating Club,18.953616,72.815366,Harbor / Marina
24,Opera House,400004,18.95,72.8167,Gola's,18.949306841562212,72.81945304261365,Food Truck
25,Opera House,400004,18.95,72.8167,Catholic Gymkhana,18.94968068708717,72.82033307360804,Gastropub
